Time,Resistance(Ohm)
18:33:05.375,Short Circuit (0 ohm)
18:33:05.877,Short Circuit (0 ohm)
18:33:06.379,Short Circuit (0 ohm)
18:33:06.881,Short Circuit (0 ohm)
18:33:07.383,Short Circuit (0 ohm)
18:33:07.885,Short Circuit (0 ohm)
18:33:08.387,Short Circuit (0 ohm)
18:33:08.889,Short Circuit (0 ohm)
18:33:09.391,Short Circuit (0 ohm)
18:33:09.893,Short Circuit (0 ohm)
18:33:10.395,Short Circuit (0 ohm)
18:33:10.897,Short Circuit (0 ohm)
18:33:11.398,Short Circuit (0 ohm)
18:33:11.900,Short Circuit (0 ohm)
18:33:12.403,Short Circuit (0 ohm)
18:33:12.905,Short Circuit (0 ohm)
18:33:13.407,Short Circuit (0 ohm)
18:33:13.909,Short Circuit (0 ohm)
18:33:14.411,Short Circuit (0 ohm)
18:33:14.913,Short Circuit (0 ohm)
18:33:15.416,Short Circuit (0 ohm)
18:33:15.918,Short Circuit (0 ohm)
18:33:16.420,Short Circuit (0 ohm)
18:33:16.922,Short Circuit (0 ohm)
18:33:17.424,Short Circuit (0 ohm)
18:33:17.926,Short Circuit (0 ohm)
18:33:18.429,R: 107864.30 ohm (ADC: 2798)
18:33:18.931,R: 107500.00 ohm (ADC: 2795)
18:33:19.433,R: 112629.07 ohm (ADC: 2836)
18:33:19.935,R: 116598.86 ohm (ADC: 2866)
18:33:20.437,R: 116463.41 ohm (ADC: 2865)
18:33:20.939,R: 115521.42 ohm (ADC: 2858)
18:33:21.441,R: 114194.06 ohm (ADC: 2848)
18:33:21.943,R: 112114.02 ohm (ADC: 2832)
18:33:22.445,R: 109960.94 ohm (ADC: 2815)
18:33:22.947,R: 109214.62 ohm (ADC: 2809)
18:33:23.449,R: 108475.23 ohm (ADC: 2803)
18:33:23.951,R: 108108.11 ohm (ADC: 2800)
18:33:24.453,R: 106896.55 ohm (ADC: 2790)
18:33:24.955,R: 105466.97 ohm (ADC: 2778)
18:33:25.457,R: 105821.91 ohm (ADC: 2781)
18:33:25.959,R: 105703.42 ohm (ADC: 2780)
18:33:26.461,R: 105466.97 ohm (ADC: 2778)
18:33:26.963,R: 105349.02 ohm (ADC: 2777)
18:33:27.464,R: 105349.02 ohm (ADC: 2777)
18:33:27.966,R: 49200.58 ohm (ADC: 2031)
18:33:28.468,R: 54092.53 ohm (ADC: 2128)
18:33:28.970,R: 58390.68 ohm (ADC: 2206)
18:33:29.472,R: 59083.64 ohm (ADC: 2218)
18:33:29.975,R: 59375.00 ohm (ADC: 2223)
18:33:30.477,R: 59200.00 ohm (ADC: 2220)
18:33:30.979,R: 59141.79 ohm (ADC: 2219)
18:33:31.481,R: 59316.61 ohm (ADC: 2222)
18:33:31.983,R: 59141.79 ohm (ADC: 2219)
18:33:32.485,R: 58793.84 ohm (ADC: 2213)
18:33:32.987,R: 58967.54 ohm (ADC: 2216)
18:33:33.489,R: 58448.09 ohm (ADC: 2207)
18:33:33.991,R: 58333.33 ohm (ADC: 2205)
18:33:34.493,R: 57819.91 ohm (ADC: 2196)
18:33:34.995,R: 58047.49 ohm (ADC: 2200)
18:33:35.497,R: 57819.91 ohm (ADC: 2196)
18:33:35.999,R: 57876.71 ohm (ADC: 2197)
18:33:36.502,R: 57536.77 ohm (ADC: 2191)
18:33:37.004,R: 57198.95 ohm (ADC: 2185)
18:33:37.506,R: 57423.93 ohm (ADC: 2189)
18:33:38.008,R: 57311.32 ohm (ADC: 2187)
18:33:38.510,R: 57763.16 ohm (ADC: 2195)
18:33:39.012,R: 57311.32 ohm (ADC: 2187)
18:33:39.514,R: 33776.60 ohm (ADC: 1651)
18:33:40.016,R: 39332.46 ohm (ADC: 1803)
18:33:40.518,R: 43280.18 ohm (ADC: 1900)
18:33:41.020,R: 45365.62 ohm (ADC: 1948)
18:33:41.522,R: 46398.30 ohm (ADC: 1971)
18:33:42.024,R: 46900.14 ohm (ADC: 1982)
18:33:42.526,R: 47083.93 ohm (ADC: 1986)
18:33:43.029,R: 47360.91 ohm (ADC: 1992)
18:33:43.531,R: 47453.59 ohm (ADC: 1994)
18:33:44.033,R: 47592.95 ohm (ADC: 1997)
18:33:44.535,R: 47546.45 ohm (ADC: 1996)
18:33:45.037,R: 47546.45 ohm (ADC: 1996)
18:33:45.539,R: 47453.59 ohm (ADC: 1994)
18:33:46.041,R: 47453.59 ohm (ADC: 1994)
18:33:46.543,R: 47779.37 ohm (ADC: 2001)
18:33:47.045,R: 47500.00 ohm (ADC: 1995)
18:33:47.547,R: 47500.00 ohm (ADC: 1995)
18:33:48.049,R: 29391.24 ohm (ADC: 1516)
18:33:48.551,R: 33673.89 ohm (ADC: 1648)
18:33:49.053,R: 36501.90 ohm (ADC: 1728)
18:33:49.555,R: 38444.93 ohm (ADC: 1780)
18:33:50.057,R: 39723.93 ohm (ADC: 1813)
18:33:50.559,R: 40597.34 ohm (ADC: 1835)
18:33:51.061,R: 41487.94 ohm (ADC: 1857)
18:33:51.563,R: 41651.75 ohm (ADC: 1861)
18:33:52.065,R: 41981.13 ohm (ADC: 1869)
