Time,Resistance(Ohm)
17:37:05.780,Short Circuit (0 ohm)
17:37:06.282,Short Circuit (0 ohm)
17:37:06.785,Short Circuit (0 ohm)
17:37:07.287,Short Circuit (0 ohm)
17:37:07.789,Short Circuit (0 ohm)
17:37:08.291,Short Circuit (0 ohm)
17:37:08.794,Short Circuit (0 ohm)
17:37:09.296,Short Circuit (0 ohm)
17:37:09.798,Short Circuit (0 ohm)
17:37:10.300,Short Circuit (0 ohm)
17:37:10.802,Short Circuit (0 ohm)
17:37:11.305,Short Circuit (0 ohm)
17:37:11.807,Short Circuit (0 ohm)
17:37:12.309,Short Circuit (0 ohm)
17:37:12.811,Short Circuit (0 ohm)
17:37:13.313,Short Circuit (0 ohm)
17:37:13.816,Short Circuit (0 ohm)
17:37:14.318,Short Circuit (0 ohm)
17:37:14.820,Short Circuit (0 ohm)
17:37:15.322,Short Circuit (0 ohm)
17:37:15.824,Short Circuit (0 ohm)
17:37:16.326,Short Circuit (0 ohm)
17:37:16.829,Short Circuit (0 ohm)
17:37:17.331,Short Circuit (0 ohm)
17:37:17.833,Short Circuit (0 ohm)
17:37:18.336,Short Circuit (0 ohm)
17:37:18.838,Short Circuit (0 ohm)
17:37:19.340,Short Circuit (0 ohm)
17:37:19.843,Short Circuit (0 ohm)
17:37:20.345,Short Circuit (0 ohm)
17:37:20.847,Short Circuit (0 ohm)
17:37:21.349,Short Circuit (0 ohm)
17:37:21.851,Short Circuit (0 ohm)
17:37:22.354,Short Circuit (0 ohm)
17:37:22.856,Short Circuit (0 ohm)
17:37:23.358,Short Circuit (0 ohm)
17:37:23.861,Short Circuit (0 ohm)
17:37:24.363,Short Circuit (0 ohm)
17:37:24.865,Short Circuit (0 ohm)
17:37:25.367,Short Circuit (0 ohm)
17:37:25.870,Short Circuit (0 ohm)
17:37:26.372,Short Circuit (0 ohm)
17:37:26.874,Short Circuit (0 ohm)
17:37:27.376,Short Circuit (0 ohm)
17:37:27.879,Short Circuit (0 ohm)
17:37:28.381,Short Circuit (0 ohm)
17:37:28.883,Short Circuit (0 ohm)
17:37:29.385,Short Circuit (0 ohm)
17:37:29.888,Short Circuit (0 ohm)
17:37:30.390,Short Circuit (0 ohm)
17:37:30.892,Short Circuit (0 ohm)
17:37:31.395,Short Circuit (0 ohm)
17:37:31.897,Short Circuit (0 ohm)
17:37:32.399,Short Circuit (0 ohm)
17:37:32.901,Short Circuit (0 ohm)
17:37:33.404,Short Circuit (0 ohm)
17:37:33.906,Short Circuit (0 ohm)
17:37:34.408,Short Circuit (0 ohm)
17:37:34.911,Short Circuit (0 ohm)
17:37:35.413,Short Circuit (0 ohm)
17:37:35.915,Short Circuit (0 ohm)
17:37:36.417,Short Circuit (0 ohm)
17:37:36.920,Short Circuit (0 ohm)
17:37:37.422,Short Circuit (0 ohm)
17:37:37.924,Short Circuit (0 ohm)
17:37:38.426,Short Circuit (0 ohm)
17:37:38.929,Short Circuit (0 ohm)
17:37:39.431,Short Circuit (0 ohm)
17:37:39.933,Short Circuit (0 ohm)
17:37:40.435,Short Circuit (0 ohm)
17:37:40.938,Short Circuit (0 ohm)
17:37:41.440,Short Circuit (0 ohm)
17:37:41.942,Short Circuit (0 ohm)
17:37:42.444,Short Circuit (0 ohm)
17:37:42.946,Short Circuit (0 ohm)
17:37:43.449,Short Circuit (0 ohm)
17:37:43.951,Short Circuit (0 ohm)
17:37:44.453,Short Circuit (0 ohm)
17:37:44.955,Short Circuit (0 ohm)
17:37:45.457,Short Circuit (0 ohm)
17:37:45.959,Short Circuit (0 ohm)
17:37:46.462,Short Circuit (0 ohm)
17:37:46.964,Short Circuit (0 ohm)
17:37:47.466,Short Circuit (0 ohm)
17:37:47.968,Short Circuit (0 ohm)
17:37:48.471,Short Circuit (0 ohm)
17:37:48.973,Short Circuit (0 ohm)
17:37:49.475,Short Circuit (0 ohm)
17:37:49.977,Short Circuit (0 ohm)
17:37:50.480,Short Circuit (0 ohm)
17:37:50.982,Short Circuit (0 ohm)
17:37:51.484,Short Circuit (0 ohm)
17:37:51.986,Short Circuit (0 ohm)
17:37:52.488,Short Circuit (0 ohm)
17:37:52.991,Short Circuit (0 ohm)
17:37:53.493,Short Circuit (0 ohm)
17:37:53.995,Short Circuit (0 ohm)
17:37:54.498,Short Circuit (0 ohm)
17:37:55.000,Short Circuit (0 ohm)
17:37:55.502,Short Circuit (0 ohm)
17:37:56.004,Short Circuit (0 ohm)
17:37:56.507,Short Circuit (0 ohm)
17:37:57.009,Short Circuit (0 ohm)
17:37:57.511,Short Circuit (0 ohm)
17:37:58.014,Short Circuit (0 ohm)
17:37:58.516,Short Circuit (0 ohm)
17:37:59.018,Short Circuit (0 ohm)
17:37:59.520,Short Circuit (0 ohm)
17:38:00.023,Short Circuit (0 ohm)
17:38:00.525,Short Circuit (0 ohm)
17:38:01.027,Short Circuit (0 ohm)
17:38:01.530,Short Circuit (0 ohm)
17:38:02.032,Short Circuit (0 ohm)
17:38:02.535,Short Circuit (0 ohm)
17:38:03.037,Short Circuit (0 ohm)
17:38:03.539,Short Circuit (0 ohm)
17:38:04.041,Short Circuit (0 ohm)
17:38:04.544,Short Circuit (0 ohm)
17:38:05.046,Short Circuit (0 ohm)
17:38:05.548,Short Circuit (0 ohm)
17:38:06.051,Short Circuit (0 ohm)
17:38:06.553,Short Circuit (0 ohm)
17:38:07.055,Short Circuit (0 ohm)
17:38:07.558,Short Circuit (0 ohm)
17:38:08.060,Short Circuit (0 ohm)
17:38:08.562,Short Circuit (0 ohm)
17:38:09.064,Short Circuit (0 ohm)
17:38:09.567,Short Circuit (0 ohm)
17:38:10.069,Short Circuit (0 ohm)
17:38:10.571,Short Circuit (0 ohm)
17:38:11.073,Short Circuit (0 ohm)
17:38:11.576,Short Circuit (0 ohm)
17:38:12.078,Short Circuit (0 ohm)
17:38:12.580,Short Circuit (0 ohm)
17:38:13.082,Short Circuit (0 ohm)
17:38:13.585,Short Circuit (0 ohm)
17:38:14.087,Short Circuit (0 ohm)
17:38:14.589,Short Circuit (0 ohm)
17:38:15.092,Short Circuit (0 ohm)
17:38:15.594,Short Circuit (0 ohm)
17:38:16.096,Short Circuit (0 ohm)
17:38:16.599,Short Circuit (0 ohm)
17:38:17.101,Short Circuit (0 ohm)
17:38:17.603,Short Circuit (0 ohm)
17:38:18.106,Short Circuit (0 ohm)
17:38:18.608,Short Circuit (0 ohm)
17:38:19.110,Short Circuit (0 ohm)
17:38:19.612,Short Circuit (0 ohm)
17:38:20.115,Short Circuit (0 ohm)
17:38:20.617,Short Circuit (0 ohm)
17:38:21.119,Short Circuit (0 ohm)
17:38:21.622,Short Circuit (0 ohm)
17:38:22.124,Short Circuit (0 ohm)
17:38:22.626,Short Circuit (0 ohm)
17:38:23.128,Short Circuit (0 ohm)
17:38:23.630,Short Circuit (0 ohm)
17:38:24.133,Short Circuit (0 ohm)
17:38:24.635,Short Circuit (0 ohm)
17:38:25.137,Short Circuit (0 ohm)
17:38:25.639,Short Circuit (0 ohm)
17:38:26.142,Short Circuit (0 ohm)
17:38:26.644,Short Circuit (0 ohm)
17:38:27.146,Short Circuit (0 ohm)
17:38:27.648,Short Circuit (0 ohm)
17:38:28.151,Short Circuit (0 ohm)
17:38:28.653,Short Circuit (0 ohm)
17:38:29.155,Short Circuit (0 ohm)
17:38:29.657,Short Circuit (0 ohm)
17:38:30.160,Short Circuit (0 ohm)
17:38:30.662,Short Circuit (0 ohm)
17:38:31.164,Short Circuit (0 ohm)
17:38:31.666,Short Circuit (0 ohm)
17:38:32.168,Short Circuit (0 ohm)
17:38:32.670,Short Circuit (0 ohm)
17:38:33.173,Short Circuit (0 ohm)
17:38:33.675,Short Circuit (0 ohm)
17:38:34.177,Short Circuit (0 ohm)
17:38:34.679,Short Circuit (0 ohm)
17:38:35.181,Short Circuit (0 ohm)
17:38:35.684,Short Circuit (0 ohm)
17:38:36.186,Short Circuit (0 ohm)
17:38:36.688,Short Circuit (0 ohm)
